schema_version,campaign_id,case_id,solve_id,classification,created_utc,completed_utc,git_commit,campaign_manifest_path,campaign_manifest_sha256,confirmatory_manifest_sha256,command,environment_json,radius_m,k_rad_m,ka,energy_density_j_m3,f0,f0_applicable,f1,material_model,temporal_convention,particle_count,particle_index,family,position_x_m,position_y_m,position_z_m,minimum_distance_m,distance_ratio,coordinate_sha256,model,force_channel,lmax,full_modes_per_particle,active_modes_per_particle,system_dimension,solver_name,force_x_n,force_y_n,force_z_n,force_x_over_a2e0,force_y_over_a2e0,force_z_over_a2e0,successive_change,absolute_change,change_applicable,confirmation_lmax,confirmed,finite,diagnostics_pass,eligible,failure_stage,ineligibility_reason,stop_reason,evidence_role,include_in_scientific_tables
1.0.0,p1_dimer_resource_pilot,p1_pilot_rigid_ka010_d0210_t000,d97b7c88e857e92b1bdf3ec3b8418ca3ce4339ecd4cb57436fca988016901f61,development,2026-08-19T20:17:27.345044Z,2026-08-19T20:25:41.478313Z,a5a2a9c58f5e65b7986e24c7c64879246d946131,campaigns/p1/pilot_manifest.yaml,d8f56ce20f6f0821d84fd6f36e1f76c855f63f55d809ba9a7201ba52097a43bf,9d360de6e61d901cff3f84c477f367773251103db12386dbb8156bd1ec2addca,/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python scripts/run_p1_5_timed_pilot.py --execute,"{""machine"":""x86_64"",""mkl_num_threads"":""1"",""numexpr_num_threads"":""1"",""numpy_version"":""2.5.1"",""omp_num_threads"":""1"",""openblas_num_threads"":""1"",""platform"":""Linux-7.0.0-28-generic-x86_64-with-glibc2.39"",""python_executable"":""/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python"",""python_version"":""3.12.3"",""pythonhashseed"":""0"",""scipy_version"":""1.18.0"",""veclib_maximum_threads"":""1""}",1,0.10000000000000001,0.10000000000000001,1,0,false,1,rigid,exp(-i omega t),2,1,resource_pilot,1.05,0,0,2.1000000000000001,2.1000000000000001,35c18368ed60abca1eef89b8aeeb1f09b16a455ce330dc4b04a08155543fb053,B_E,external_scattered,13,196,91,182,balanced_sqrt,-1.2224038067762444,1.6331636324526529e-16,0,-1.2224038067762444,1.6331636324526529e-16,0,3.1258379903474332e-05,3.8210362587665081e-05,true,,false,true,true,false,convergence,unconfirmed_at_21,unconfirmed_at_21,resource_pilot,false
1.0.0,p1_dimer_resource_pilot,p1_pilot_rigid_ka010_d0210_t000,d97b7c88e857e92b1bdf3ec3b8418ca3ce4339ecd4cb57436fca988016901f61,development,2026-08-19T20:17:27.345044Z,2026-08-19T20:25:41.478313Z,a5a2a9c58f5e65b7986e24c7c64879246d946131,campaigns/p1/pilot_manifest.yaml,d8f56ce20f6f0821d84fd6f36e1f76c855f63f55d809ba9a7201ba52097a43bf,9d360de6e61d901cff3f84c477f367773251103db12386dbb8156bd1ec2addca,/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python scripts/run_p1_5_timed_pilot.py --execute,"{""machine"":""x86_64"",""mkl_num_threads"":""1"",""numexpr_num_threads"":""1"",""numpy_version"":""2.5.1"",""omp_num_threads"":""1"",""openblas_num_threads"":""1"",""platform"":""Linux-7.0.0-28-generic-x86_64-with-glibc2.39"",""python_executable"":""/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python"",""python_version"":""3.12.3"",""pythonhashseed"":""0"",""scipy_version"":""1.18.0"",""veclib_maximum_threads"":""1""}",1,0.10000000000000001,0.10000000000000001,1,0,false,1,rigid,exp(-i omega t),2,0,resource_pilot,-1.05,-0,-0,2.1000000000000001,2.1000000000000001,35c18368ed60abca1eef89b8aeeb1f09b16a455ce330dc4b04a08155543fb053,B_E,scattered_scattered,13,196,91,182,balanced_sqrt,0.37231060905196833,7.027868144644412e-18,0,0.37231060905196833,7.027868144644412e-18,0,0.0011099417830867278,0.00041324310127324737,true,,false,true,true,false,convergence,unconfirmed_at_21,unconfirmed_at_21,resource_pilot,false
1.0.0,p1_dimer_resource_pilot,p1_pilot_rigid_ka010_d0210_t000,d97b7c88e857e92b1bdf3ec3b8418ca3ce4339ecd4cb57436fca988016901f61,development,2026-08-19T20:17:27.345044Z,2026-08-19T20:25:41.478313Z,a5a2a9c58f5e65b7986e24c7c64879246d946131,campaigns/p1/pilot_manifest.yaml,d8f56ce20f6f0821d84fd6f36e1f76c855f63f55d809ba9a7201ba52097a43bf,9d360de6e61d901cff3f84c477f367773251103db12386dbb8156bd1ec2addca,/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python scripts/run_p1_5_timed_pilot.py --execute,"{""machine"":""x86_64"",""mkl_num_threads"":""1"",""numexpr_num_threads"":""1"",""numpy_version"":""2.5.1"",""omp_num_threads"":""1"",""openblas_num_threads"":""1"",""platform"":""Linux-7.0.0-28-generic-x86_64-with-glibc2.39"",""python_executable"":""/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python"",""python_version"":""3.12.3"",""pythonhashseed"":""0"",""scipy_version"":""1.18.0"",""veclib_maximum_threads"":""1""}",1,0.10000000000000001,0.10000000000000001,1,0,false,1,rigid,exp(-i omega t),2,1,resource_pilot,1.05,0,0,2.1000000000000001,2.1000000000000001,35c18368ed60abca1eef89b8aeeb1f09b16a455ce330dc4b04a08155543fb053,B_E,scattered_scattered,13,196,91,182,balanced_sqrt,-0.37231060905196839,5.3973967732252421e-17,0,-0.37231060905196839,5.3973967732252421e-17,0,0.0011099417830867278,0.00041324310127324737,true,,false,true,true,false,convergence,unconfirmed_at_21,unconfirmed_at_21,resource_pilot,false
1.0.0,p1_dimer_resource_pilot,p1_pilot_rigid_ka010_d0210_t000,d97b7c88e857e92b1bdf3ec3b8418ca3ce4339ecd4cb57436fca988016901f61,development,2026-08-19T20:17:27.345044Z,2026-08-19T20:25:41.478313Z,a5a2a9c58f5e65b7986e24c7c64879246d946131,campaigns/p1/pilot_manifest.yaml,d8f56ce20f6f0821d84fd6f36e1f76c855f63f55d809ba9a7201ba52097a43bf,9d360de6e61d901cff3f84c477f367773251103db12386dbb8156bd1ec2addca,/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python scripts/run_p1_5_timed_pilot.py --execute,"{""machine"":""x86_64"",""mkl_num_threads"":""1"",""numexpr_num_threads"":""1"",""numpy_version"":""2.5.1"",""omp_num_threads"":""1"",""openblas_num_threads"":""1"",""platform"":""Linux-7.0.0-28-generic-x86_64-with-glibc2.39"",""python_executable"":""/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python"",""python_version"":""3.12.3"",""pythonhashseed"":""0"",""scipy_version"":""1.18.0"",""veclib_maximum_threads"":""1""}",1,0.10000000000000001,0.10000000000000001,1,0,false,1,rigid,exp(-i omega t),2,0,resource_pilot,-1.05,-0,-0,2.1000000000000001,2.1000000000000001,35c18368ed60abca1eef89b8aeeb1f09b16a455ce330dc4b04a08155543fb053,B_E,total,14,225,105,210,balanced_sqrt,1.5949544902431492,2.0419630322401544e-17,0,1.5949544902431492,2.0419630322401544e-17,0,0.00015052116935314813,0.0002400744149364531,true,,false,true,true,false,convergence,unconfirmed_at_21,unconfirmed_at_21,resource_pilot,false
1.0.0,p1_dimer_resource_pilot,p1_pilot_rigid_ka010_d0210_t000,d97b7c88e857e92b1bdf3ec3b8418ca3ce4339ecd4cb57436fca988016901f61,development,2026-08-19T20:17:27.345044Z,2026-08-19T20:25:41.478313Z,a5a2a9c58f5e65b7986e24c7c64879246d946131,campaigns/p1/pilot_manifest.yaml,d8f56ce20f6f0821d84fd6f36e1f76c855f63f55d809ba9a7201ba52097a43bf,9d360de6e61d901cff3f84c477f367773251103db12386dbb8156bd1ec2addca,/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python scripts/run_p1_5_timed_pilot.py --execute,"{""machine"":""x86_64"",""mkl_num_threads"":""1"",""numexpr_num_threads"":""1"",""numpy_version"":""2.5.1"",""omp_num_threads"":""1"",""openblas_num_threads"":""1"",""platform"":""Linux-7.0.0-28-generic-x86_64-with-glibc2.39"",""python_executable"":""/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python"",""python_version"":""3.12.3"",""pythonhashseed"":""0"",""scipy_version"":""1.18.0"",""veclib_maximum_threads"":""1""}",1,0.10000000000000001,0.10000000000000001,1,0,false,1,rigid,exp(-i omega t),2,1,resource_pilot,1.05,0,0,2.1000000000000001,2.1000000000000001,35c18368ed60abca1eef89b8aeeb1f09b16a455ce330dc4b04a08155543fb053,B_E,total,14,225,105,210,balanced_sqrt,-1.5949544902431492,2.1601528942251782e-16,0,-1.5949544902431492,2.1601528942251782e-16,0,0.00015052116935314813,0.0002400744149364531,true,,false,true,true,false,convergence,unconfirmed_at_21,unconfirmed_at_21,resource_pilot,false
1.0.0,p1_dimer_resource_pilot,p1_pilot_rigid_ka010_d0210_t000,d97b7c88e857e92b1bdf3ec3b8418ca3ce4339ecd4cb57436fca988016901f61,development,2026-08-19T20:17:27.345044Z,2026-08-19T20:25:41.478313Z,a5a2a9c58f5e65b7986e24c7c64879246d946131,campaigns/p1/pilot_manifest.yaml,d8f56ce20f6f0821d84fd6f36e1f76c855f63f55d809ba9a7201ba52097a43bf,9d360de6e61d901cff3f84c477f367773251103db12386dbb8156bd1ec2addca,/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python scripts/run_p1_5_timed_pilot.py --execute,"{""machine"":""x86_64"",""mkl_num_threads"":""1"",""numexpr_num_threads"":""1"",""numpy_version"":""2.5.1"",""omp_num_threads"":""1"",""openblas_num_threads"":""1"",""platform"":""Linux-7.0.0-28-generic-x86_64-with-glibc2.39"",""python_executable"":""/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python"",""python_version"":""3.12.3"",""pythonhashseed"":""0"",""scipy_version"":""1.18.0"",""veclib_maximum_threads"":""1""}",1,0.10000000000000001,0.10000000000000001,1,0,false,1,rigid,exp(-i omega t),2,0,resource_pilot,-1.05,-0,-0,2.1000000000000001,2.1000000000000001,35c18368ed60abca1eef89b8aeeb1f09b16a455ce330dc4b04a08155543fb053,B_E,interaction,14,225,105,210,balanced_sqrt,1.5949544902431492,2.0419630322401544e-17,0,1.5949544902431492,2.0419630322401544e-17,0,0.00015052116935314813,0.0002400744149364531,true,,false,true,true,false,convergence,unconfirmed_at_21,unconfirmed_at_21,resource_pilot,false
1.0.0,p1_dimer_resource_pilot,p1_pilot_rigid_ka010_d0210_t000,d97b7c88e857e92b1bdf3ec3b8418ca3ce4339ecd4cb57436fca988016901f61,development,2026-08-19T20:17:27.345044Z,2026-08-19T20:25:41.478313Z,a5a2a9c58f5e65b7986e24c7c64879246d946131,campaigns/p1/pilot_manifest.yaml,d8f56ce20f6f0821d84fd6f36e1f76c855f63f55d809ba9a7201ba52097a43bf,9d360de6e61d901cff3f84c477f367773251103db12386dbb8156bd1ec2addca,/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python scripts/run_p1_5_timed_pilot.py --execute,"{""machine"":""x86_64"",""mkl_num_threads"":""1"",""numexpr_num_threads"":""1"",""numpy_version"":""2.5.1"",""omp_num_threads"":""1"",""openblas_num_threads"":""1"",""platform"":""Linux-7.0.0-28-generic-x86_64-with-glibc2.39"",""python_executable"":""/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python"",""python_version"":""3.12.3"",""pythonhashseed"":""0"",""scipy_version"":""1.18.0"",""veclib_maximum_threads"":""1""}",1,0.10000000000000001,0.10000000000000001,1,0,false,1,rigid,exp(-i omega t),2,1,resource_pilot,1.05,0,0,2.1000000000000001,2.1000000000000001,35c18368ed60abca1eef89b8aeeb1f09b16a455ce330dc4b04a08155543fb053,B_E,interaction,14,225,105,210,balanced_sqrt,-1.5949544902431492,2.1601528942251782e-16,0,-1.5949544902431492,2.1601528942251782e-16,0,0.00015052116935314813,0.0002400744149364531,true,,false,true,true,false,convergence,unconfirmed_at_21,unconfirmed_at_21,resource_pilot,false
1.0.0,p1_dimer_resource_pilot,p1_pilot_rigid_ka010_d0210_t000,d97b7c88e857e92b1bdf3ec3b8418ca3ce4339ecd4cb57436fca988016901f61,development,2026-08-19T20:17:27.345044Z,2026-08-19T20:25:41.478313Z,a5a2a9c58f5e65b7986e24c7c64879246d946131,campaigns/p1/pilot_manifest.yaml,d8f56ce20f6f0821d84fd6f36e1f76c855f63f55d809ba9a7201ba52097a43bf,9d360de6e61d901cff3f84c477f367773251103db12386dbb8156bd1ec2addca,/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python scripts/run_p1_5_timed_pilot.py --execute,"{""machine"":""x86_64"",""mkl_num_threads"":""1"",""numexpr_num_threads"":""1"",""numpy_version"":""2.5.1"",""omp_num_threads"":""1"",""openblas_num_threads"":""1"",""platform"":""Linux-7.0.0-28-generic-x86_64-with-glibc2.39"",""python_executable"":""/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python"",""python_version"":""3.12.3"",""pythonhashseed"":""0"",""scipy_version"":""1.18.0"",""veclib_maximum_threads"":""1""}",1,0.10000000000000001,0.10000000000000001,1,0,false,1,rigid,exp(-i omega t),2,0,resource_pilot,-1.05,-0,-0,2.1000000000000001,2.1000000000000001,35c18368ed60abca1eef89b8aeeb1f09b16a455ce330dc4b04a08155543fb053,B_E,external_scattered,14,225,105,210,balanced_sqrt,1.2224223536254606,1.305733573646425e-17,0,1.2224223536254606,1.305733573646425e-17,0,1.5172210456720854e-05,1.854684921620553e-05,true,,false,true,true,false,convergence,unconfirmed_at_21,unconfirmed_at_21,resource_pilot,false
1.0.0,p1_dimer_resource_pilot,p1_pilot_rigid_ka010_d0210_t000,d97b7c88e857e92b1bdf3ec3b8418ca3ce4339ecd4cb57436fca988016901f61,development,2026-08-19T20:17:27.345044Z,2026-08-19T20:25:41.478313Z,a5a2a9c58f5e65b7986e24c7c64879246d946131,campaigns/p1/pilot_manifest.yaml,d8f56ce20f6f0821d84fd6f36e1f76c855f63f55d809ba9a7201ba52097a43bf,9d360de6e61d901cff3f84c477f367773251103db12386dbb8156bd1ec2addca,/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python scripts/run_p1_5_timed_pilot.py --execute,"{""machine"":""x86_64"",""mkl_num_threads"":""1"",""numexpr_num_threads"":""1"",""numpy_version"":""2.5.1"",""omp_num_threads"":""1"",""openblas_num_threads"":""1"",""platform"":""Linux-7.0.0-28-generic-x86_64-with-glibc2.39"",""python_executable"":""/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python"",""python_version"":""3.12.3"",""pythonhashseed"":""0"",""scipy_version"":""1.18.0"",""veclib_maximum_threads"":""1""}",1,0.10000000000000001,0.10000000000000001,1,0,false,1,rigid,exp(-i omega t),2,1,resource_pilot,1.05,0,0,2.1000000000000001,2.1000000000000001,35c18368ed60abca1eef89b8aeeb1f09b16a455ce330dc4b04a08155543fb053,B_E,external_scattered,14,225,105,210,balanced_sqrt,-1.2224223536254606,1.6239106384383162e-16,0,-1.2224223536254606,1.6239106384383162e-16,0,1.5172210456720854e-05,1.854684921620553e-05,true,,false,true,true,false,convergence,unconfirmed_at_21,unconfirmed_at_21,resource_pilot,false
1.0.0,p1_dimer_resource_pilot,p1_pilot_rigid_ka010_d0210_t000,d97b7c88e857e92b1bdf3ec3b8418ca3ce4339ecd4cb57436fca988016901f61,development,2026-08-19T20:17:27.345044Z,2026-08-19T20:25:41.478313Z,a5a2a9c58f5e65b7986e24c7c64879246d946131,campaigns/p1/pilot_manifest.yaml,d8f56ce20f6f0821d84fd6f36e1f76c855f63f55d809ba9a7201ba52097a43bf,9d360de6e61d901cff3f84c477f367773251103db12386dbb8156bd1ec2addca,/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python scripts/run_p1_5_timed_pilot.py --execute,"{""machine"":""x86_64"",""mkl_num_threads"":""1"",""numexpr_num_threads"":""1"",""numpy_version"":""2.5.1"",""omp_num_threads"":""1"",""openblas_num_threads"":""1"",""platform"":""Linux-7.0.0-28-generic-x86_64-with-glibc2.39"",""python_executable"":""/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python"",""python_version"":""3.12.3"",""pythonhashseed"":""0"",""scipy_version"":""1.18.0"",""veclib_maximum_threads"":""1""}",1,0.10000000000000001,0.10000000000000001,1,0,false,1,rigid,exp(-i omega t),2,0,resource_pilot,-1.05,-0,-0,2.1000000000000001,2.1000000000000001,35c18368ed60abca1eef89b8aeeb1f09b16a455ce330dc4b04a08155543fb053,B_E,scattered_scattered,14,225,105,210,balanced_sqrt,0.37253213661768853,7.3622945859372945e-18,0,0.37253213661768853,7.3622945859372945e-18,0,0.00059465357198836021,0.0002215275657201643,true,,false,true,true,false,convergence,unconfirmed_at_21,unconfirmed_at_21,resource_pilot,false
1.0.0,p1_dimer_resource_pilot,p1_pilot_rigid_ka010_d0210_t000,d97b7c88e857e92b1bdf3ec3b8418ca3ce4339ecd4cb57436fca988016901f61,development,2026-08-19T20:17:27.345044Z,2026-08-19T20:25:41.478313Z,a5a2a9c58f5e65b7986e24c7c64879246d946131,campaigns/p1/pilot_manifest.yaml,d8f56ce20f6f0821d84fd6f36e1f76c855f63f55d809ba9a7201ba52097a43bf,9d360de6e61d901cff3f84c477f367773251103db12386dbb8156bd1ec2addca,/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python scripts/run_p1_5_timed_pilot.py --execute,"{""machine"":""x86_64"",""mkl_num_threads"":""1"",""numexpr_num_threads"":""1"",""numpy_version"":""2.5.1"",""omp_num_threads"":""1"",""openblas_num_threads"":""1"",""platform"":""Linux-7.0.0-28-generic-x86_64-with-glibc2.39"",""python_executable"":""/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python"",""python_version"":""3.12.3"",""pythonhashseed"":""0"",""scipy_version"":""1.18.0"",""veclib_maximum_threads"":""1""}",1,0.10000000000000001,0.10000000000000001,1,0,false,1,rigid,exp(-i omega t),2,1,resource_pilot,1.05,0,0,2.1000000000000001,2.1000000000000001,35c18368ed60abca1eef89b8aeeb1f09b16a455ce330dc4b04a08155543fb053,B_E,scattered_scattered,14,225,105,210,balanced_sqrt,-0.37253213661768853,5.3624225578686192e-17,0,-0.37253213661768853,5.3624225578686192e-17,0,0.00059465357198836021,0.0002215275657201643,true,,false,true,true,false,convergence,unconfirmed_at_21,unconfirmed_at_21,resource_pilot,false
1.0.0,p1_dimer_resource_pilot,p1_pilot_rigid_ka010_d0210_t000,d97b7c88e857e92b1bdf3ec3b8418ca3ce4339ecd4cb57436fca988016901f61,development,2026-08-19T20:17:27.345044Z,2026-08-19T20:25:41.478313Z,a5a2a9c58f5e65b7986e24c7c64879246d946131,campaigns/p1/pilot_manifest.yaml,d8f56ce20f6f0821d84fd6f36e1f76c855f63f55d809ba9a7201ba52097a43bf,9d360de6e61d901cff3f84c477f367773251103db12386dbb8156bd1ec2addca,/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python scripts/run_p1_5_timed_pilot.py --execute,"{""machine"":""x86_64"",""mkl_num_threads"":""1"",""numexpr_num_threads"":""1"",""numpy_version"":""2.5.1"",""omp_num_threads"":""1"",""openblas_num_threads"":""1"",""platform"":""Linux-7.0.0-28-generic-x86_64-with-glibc2.39"",""python_executable"":""/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python"",""python_version"":""3.12.3"",""pythonhashseed"":""0"",""scipy_version"":""1.18.0"",""veclib_maximum_threads"":""1""}",1,0.10000000000000001,0.10000000000000001,1,0,false,1,rigid,exp(-i omega t),2,0,resource_pilot,-1.05,-0,-0,2.1000000000000001,2.1000000000000001,35c18368ed60abca1eef89b8aeeb1f09b16a455ce330dc4b04a08155543fb053,B_E,total,15,256,120,240,balanced_sqrt,1.5950823921545507,2.3853996380677804e-17,0,1.5950823921545507,2.3853996380677804e-17,0,8.0185144059277195e-05,0.00012790191140132912,true,,false,true,true,false,convergence,unconfirmed_at_21,unconfirmed_at_21,resource_pilot,false
1.0.0,p1_dimer_resource_pilot,p1_pilot_rigid_ka010_d0210_t000,d97b7c88e857e92b1bdf3ec3b8418ca3ce4339ecd4cb57436fca988016901f61,development,2026-08-19T20:17:27.345044Z,2026-08-19T20:25:41.478313Z,a5a2a9c58f5e65b7986e24c7c64879246d946131,campaigns/p1/pilot_manifest.yaml,d8f56ce20f6f0821d84fd6f36e1f76c855f63f55d809ba9a7201ba52097a43bf,9d360de6e61d901cff3f84c477f367773251103db12386dbb8156bd1ec2addca,/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python scripts/run_p1_5_timed_pilot.py --execute,"{""machine"":""x86_64"",""mkl_num_threads"":""1"",""numexpr_num_threads"":""1"",""numpy_version"":""2.5.1"",""omp_num_threads"":""1"",""openblas_num_threads"":""1"",""platform"":""Linux-7.0.0-28-generic-x86_64-with-glibc2.39"",""python_executable"":""/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python"",""python_version"":""3.12.3"",""pythonhashseed"":""0"",""scipy_version"":""1.18.0"",""veclib_maximum_threads"":""1""}",1,0.10000000000000001,0.10000000000000001,1,0,false,1,rigid,exp(-i omega t),2,1,resource_pilot,1.05,0,0,2.1000000000000001,2.1000000000000001,35c18368ed60abca1eef89b8aeeb1f09b16a455ce330dc4b04a08155543fb053,B_E,total,15,256,120,240,balanced_sqrt,-1.5950823921545503,2.1492425298590785e-16,0,-1.5950823921545503,2.1492425298590785e-16,0,8.0185144059277195e-05,0.00012790191140132912,true,,false,true,true,false,convergence,unconfirmed_at_21,unconfirmed_at_21,resource_pilot,false
1.0.0,p1_dimer_resource_pilot,p1_pilot_rigid_ka010_d0210_t000,d97b7c88e857e92b1bdf3ec3b8418ca3ce4339ecd4cb57436fca988016901f61,development,2026-08-19T20:17:27.345044Z,2026-08-19T20:25:41.478313Z,a5a2a9c58f5e65b7986e24c7c64879246d946131,campaigns/p1/pilot_manifest.yaml,d8f56ce20f6f0821d84fd6f36e1f76c855f63f55d809ba9a7201ba52097a43bf,9d360de6e61d901cff3f84c477f367773251103db12386dbb8156bd1ec2addca,/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python scripts/run_p1_5_timed_pilot.py --execute,"{""machine"":""x86_64"",""mkl_num_threads"":""1"",""numexpr_num_threads"":""1"",""numpy_version"":""2.5.1"",""omp_num_threads"":""1"",""openblas_num_threads"":""1"",""platform"":""Linux-7.0.0-28-generic-x86_64-with-glibc2.39"",""python_executable"":""/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python"",""python_version"":""3.12.3"",""pythonhashseed"":""0"",""scipy_version"":""1.18.0"",""veclib_maximum_threads"":""1""}",1,0.10000000000000001,0.10000000000000001,1,0,false,1,rigid,exp(-i omega t),2,0,resource_pilot,-1.05,-0,-0,2.1000000000000001,2.1000000000000001,35c18368ed60abca1eef89b8aeeb1f09b16a455ce330dc4b04a08155543fb053,B_E,interaction,15,256,120,240,balanced_sqrt,1.5950823921545507,2.3853996380677804e-17,0,1.5950823921545507,2.3853996380677804e-17,0,8.0185144059277195e-05,0.00012790191140132912,true,,false,true,true,false,convergence,unconfirmed_at_21,unconfirmed_at_21,resource_pilot,false
1.0.0,p1_dimer_resource_pilot,p1_pilot_rigid_ka010_d0210_t000,d97b7c88e857e92b1bdf3ec3b8418ca3ce4339ecd4cb57436fca988016901f61,development,2026-08-19T20:17:27.345044Z,2026-08-19T20:25:41.478313Z,a5a2a9c58f5e65b7986e24c7c64879246d946131,campaigns/p1/pilot_manifest.yaml,d8f56ce20f6f0821d84fd6f36e1f76c855f63f55d809ba9a7201ba52097a43bf,9d360de6e61d901cff3f84c477f367773251103db12386dbb8156bd1ec2addca,/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python scripts/run_p1_5_timed_pilot.py --execute,"{""machine"":""x86_64"",""mkl_num_threads"":""1"",""numexpr_num_threads"":""1"",""numpy_version"":""2.5.1"",""omp_num_threads"":""1"",""openblas_num_threads"":""1"",""platform"":""Linux-7.0.0-28-generic-x86_64-with-glibc2.39"",""python_executable"":""/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python"",""python_version"":""3.12.3"",""pythonhashseed"":""0"",""scipy_version"":""1.18.0"",""veclib_maximum_threads"":""1""}",1,0.10000000000000001,0.10000000000000001,1,0,false,1,rigid,exp(-i omega t),2,1,resource_pilot,1.05,0,0,2.1000000000000001,2.1000000000000001,35c18368ed60abca1eef89b8aeeb1f09b16a455ce330dc4b04a08155543fb053,B_E,interaction,15,256,120,240,balanced_sqrt,-1.5950823921545503,2.1492425298590785e-16,0,-1.5950823921545503,2.1492425298590785e-16,0,8.0185144059277195e-05,0.00012790191140132912,true,,false,true,true,false,convergence,unconfirmed_at_21,unconfirmed_at_21,resource_pilot,false
